from,to
"D01968","H00010"
"D04187","H01490"
"D00142","H00630"
"D00290","H00325"
"D06414","H00004"
"D00891","H01563"
"D00513","H01633"
"D00926","H01175"
"D00416","H00363"
"D10364","H01649"
"D00290","H00322"
"D00989","H02018"
"D00407","H01490"
"D00975","H01466"
"D00478","H00007"
"D10104","H00038"
"D00118","H00630"
"D00432","H01633"
"D00472","H01357"
"D00981","H01357"
"D10271","H01633"
"D03903","H01325"
"D05700","H01632"
"D02754","H01656"
"D10926","H00014"
"D00983","H01657"
"D01275","H02427"
"D02745","H01613"
"D11039","H01563"
"D00868","H00360"
"D02100","H01649"
"D00973","H01648"
"D03925","H00343"
"D06409","H00030"
"D09371","H00048"
"D11079","H01491"
"D08173","H00010"
"D02597","H01674"
"D10979","H00031"
"D01053","H01314"
"D01155","H00019"
"D10592","H01633"
"D11034","H00409"
"D00507","H01633"
"D00307","H00349"
"D09727","H00408"
"D02748","H00413"
"D00141","H00630"
"D11052","H01656"
"D10253","H00409"
"D00979","H00630"
"D00292","H01360"
"D06407","H01592"
"D00216","H00409"
"D02115","H00028"
"D04489","H00005"
"D02122","H00323"
"D00109","H01730"
"D00742","H01656"
"D02258","H01635"
"D06565","H00131"
"D01628","H01424"
"D00751","H00079"
"D10708","H01563"
"D00820","H01646"
"D00335","H00409"
"D00981","H01604"
"D02235","H00219"
"D00850","H01440"
"D00471","H01617"
"D00088","H01674"
"D11053","H00020"
"D01275","H00018"
"D00944","H00409"
"D00203","H01062"
"D00088","H00342"
"D01373","H00079"
"D10898","H00031"
"D03441","H00286"
"D03903","H00315"
"D01132","H01656"
"D03213","H01723"
"D00254","H01667"
"D02134","H00347"
"D00814","H01609"
"D00565","H01635"
"D10873","H01358"
"D02129","H01325"
"D01984","H01602"
"D00161","H00001"
"D01068","H01463"
"D07077","H01621"
"D00562","H00082"
"D00979","H01585"
"D00973","H01656"
"D05868","H01398"
"D01118","H01600"
"D00351","H01520"
"D00709","H00808"
"D02461","H01318"
"D06087","H02176"
"D00824","H01450"
"D03455","H02420"
"D00892","H01635"
"D11700","H00218"
"D10752","H00409"
"D10574","H00031"
"D00059","H01600"
"D00088","H01656"
"D01426","H00360"
"D06272","H00021"
"D01203","H00243"
"D02122","H00328"
"D03835","H01563"
"D00351","H01501"
"D01980","H01316"
"D00407","H01694"
"D00798","H01649"
"D11416","H00043"
"D10333","H00123"
"D09325","H00001"
"D00983","H01674"
"D00246","H00286"
"D11042","H00218"
"D05339","H01649"
"D05277","H01714"
"D09994","H01621"
"D00146","H01695"
"D00573","H00024"
"D00973","H01466"
"D00825","H01664"
"D00573","H01639"
"D00401","H00082"
"D02689","H01609"
"D10245","H00320"
"D03021","H01481"
"D10469","H00413"
"D00088","H01358"
"D10978","H01714"
"D02690","H01635"
"D00850","H01325"
"D03471","H01657"
"D08892","H01633"
"D02597","H01672"
"D00989","H01639"
"D06889","H00100"
"D09920","H00048"
"D00184","H01656"
"D07507","H01563"
"D02461","H01530"
"D00583","H00022"
"D08035","H00862"
"D02260","H01664"
"D10624","H01563"
"D02934","H00630"
"D05446","H00031"
"D11646","H01445"
"D00407","H01357"
"D10643","H02033"
"D00351","H01319"
"D00850","H01415"
"D01275","H00010"
"D11990","H02434"
"D10773","H00031"
"D10061","H01656"
"D00088","H01507"
"D00973","H01357"
"D01164","H01653"
"D11630","H01714"
"D10835","H01563"
"D00275","H00023"
"D09572","H01621"
"D02554","H01506"
"D00377","H01466"
"D00747","H00098"
"D09967","H01507"
"D11043","H00409"
"D10560","H01613"
"D02624","H01609"
"D00978","H01672"
"D00751","H01648"
"D00049","H01635"
"D01748","H01626"
"D00292","H01585"
"D06623","H01649"
"D05380","H00021"
"D10915","H01818"
"D08872","H01366"
"D11708","H00202"
"D03903","H00328"
"D04478","H01641"
"D00751","H01672"
"D03696","H01358"
"D05408","H00328"
"D00307","H00305"
"D05782","H00115"
"D07866","H02420"
"D00275","H00022"
"D00203","H02033"
"D00118","H01672"
"D00362","H01633"
"D06068","H00021"
"D00970","H01674"
"D03228","H00125"
"D00307","H00323"
"D02216","H00315"
"D11170","H01649"
"D01990","H01175"
"D04603","H00021"
"D03503","H01602"
"D00701","H01645"
"D00095","H01359"
"D00945","H00409"
"D04641","H00057"
"D10211","H00975"
"D00981","H01657"
"D10677","H01669"
"D00966","H00031"
"D00673","H01634"
"D00975","H01656"
"D00419","H01634"
"D01747","H00003"
"D00778","H01600"
"D00685","H01714"
"D03684","H00010"
"D01203","H00428"
"D10888","H00024"
"D09998","H01642"
"D02596","H00630"
"D00850","H00321"
"D10018","H00014"
"D00290","H00297"
"D00601","H01632"
"D00587","H00345"
"D00990","H01639"
"D01370","H00006"
"D10591","H01633"
"D00983","H01672"
"D03211","H00363"
"D00088","H01466"
"D03150","H00010"
"D02691","H00254"
"D00717","H01615"
"D02994","H01658"
"D06409","H00027"
"D10555","H01613"
"D09744","H00409"
"D01068","H00028"
"D00621","H01633"
"D00140","H00311"
"D05868","H00185"
"D11160","H00225"
"D01637","H01656"
"D10514","H00014"
"D11393","H01613"
"D10699","H01342"
"D10176","H00038"
"D05928","H01818"
"D00673","H01602"
"D02078","H01293"
"D00975","H01717"
"D02597","H00681"
"D06402","H00021"
"D05375","H01450"
"D10913","H02143"
"D02212","H01714"
"D00292","H01532"
"D05384","H02309"
"D00614","H01631"
"D00360","H01054"
"D00942","H01593"
"D10019","H00010"
"D00978","H01585"
"D00142","H01672"
"D08858","H01381"
"D00975","H01532"
"D11045","H00024"
"D11114","H01522"
"D02165","H00014"
"D01053","H00336"
"D10198","H01656"
"D11225","H01445"
"D00203","H01503"
"D00804","H01054"
"D00359","H01730"
"D00981","H01714"
"D02114","H01595"
"D00307","H00328"
"D09763","H00409"
"D01073","H00333"
"D00751","H00080"
"D02177","H02418"
"D05259","H01522"
"D08797","H00219"
"D10025","H00409"
"D00135","H00342"
"D03903","H01445"
"D00789","H01649"
"D10574","H00030"
"D00443","H01633"
"D03441","H01674"
"D10452","H00024"
"D08870","H01892"
"D02129","H00354"
"D00973","H01717"
"D10096","H00001"
"D02114","H00361"
"D10615","H00038"
"D05443","H01519"
"D10778","H00413"
"D00751","H00237"
"D10021","H01316"
"D00287","H00027"
"D00327","H00031"
"D00589","H01366"
"D00254","H00007"
"D00208","H00022"
"D04197","H00020"
"D00515","H01632"
"D02166","H00003"
"D10298","H00612"
"D00290","H00326"
"D00970","H00630"
"D02122","H01445"
"D11008","H00527"
"D00125","H00013"
"D00307","H01325"
"D00990","H00937"
"D00331","H01633"
"D00473","H01490"
"D00437","H01633"
"D04747","H01895"
"D10574","H02420"
"D00483","H01632"
"D10273","H01633"
"D00455","H01522"
"D02995","H01649"
"D00850","H00360"
"D00290","H00349"
"D01028","H00225"
"D00186","H00328"
"D02165","H02420"
"D00801","H01653"
"D09673","H00845"
"D10551","H00014"
"D01364","H01334"
"D01441","H02410"
"D11579","H01637"
"D00473","H01672"
"D00501","H01629"
"D10841","H01593"
"D00784","H00057"
"D00591","H00342"
"D10272","H01633"
"D08843","H00409"
"D00978","H01695"
"D00317","H00366"
"D09574","H00821"
"D02177","H00023"
"D11619","H01646"
"D05429","H00079"
"D00472","H00080"
"D10278","H01633"
"D11480","H00229"
"D11396","H01563"
"D00981","H01507"
"D01430","H00901"
"D01275","H02301"
"D00975","H00366"
"D00979","H01490"
"D03978","H01240"
"D03896","H00218"
"D06466","H00342"
"D00142","H01656"
"D00235","H01730"
"D10574","H00018"
"D10294","H01646"
"D08880","H00010"
"D10223","H00084"
"D02484","H00361"
"D00407","H01507"
"D00601","H01730"
"D03697","H01656"
"D00473","H01507"
"D01966","H00152"
"D02272","H00731"
"D01179","H01636"
"D00251","H01633"
"D10335","H01635"
"D00625","H00409"
"D05380","H02427"
"D02129","H00310"
"D04554","H01490"
"D09384","H01054"
"D00895","H01563"
"D05723","H01240"
"D02598","H00630"
"D11033","H00045"
"D00979","H01362"
"D00473","H01362"
"D01350","H00297"
"D03931","H01006"
"D11880","H01464"
"D00105","H00627"
"D01253","H01813"
"D01929","H00079"
"D00307","H00332"
"D10131","H00010"
"D10687","H01054"
"D02472","H00361"
"D00203","H00359"
"D00823","H01646"
"D04687","H01613"
"D00307","H02379"
"D09587","H01892"
"D00407","H01648"
"D10817","H00022"
"D06495","H01483"
"D00439","H01176"
"D00455","H01102"
"D00387","H01609"
"D11555","H00020"
"D08488","H01635"
"D03903","H00360"
"D00850","H00348"
"D10316","H00014"
"D00973","H01585"
"D05008","H01602"
"D00850","H00332"
"D00752","H00083"
"D01426","H01380"
"D00463","H01672"
"D02115","H01672"
"D09920","H00032"
"D00285","H01521"
"D00960","H00031"
"D00307","H00310"
"D00146","H01656"
"D11353","H01591"
"D00473","H01585"
"D00307","H01440"
"D08890","H01635"
"D02122","H01318"
"D04666","H00045"
"D00290","H00328"
"D00491","H00019"
"D05480","H01358"
"D00146","H01490"
"D00378","H00612"
"D00322","H00364"
"D03684","H01593"
"D03769","H01633"
"D10176","H00014"
"D00981","H01586"
"D00349","H01633"
"D10012","H01608"
"D02115","H02420"
"D10281","H01633"
"D10266","H00409"
"D02934","H00282"
"D11585","H01633"
"D02260","H01646"
"D00983","H01695"
"D07640","H00315"
"D06284","H00366"
"D05408","H00339"
"D06404","H00409"
"D11601","H02434"
"D00981","H01328"
"D09958","H01563"
"D10176","H00032"
"D00724","H00320"
"D04489","H00011"
"D05868","H00187"
"D00287","H00008"
"D00317","H00365"
"D01990","H00333"
"D02009","H00334"
"D00360","H02423"
"D01061","H00019"
"D00443","H01603"
"D10289","H01633"
"D00276","H00320"
"D00480","H01360"
"D10701","H00059"
"D09761","H01463"
"D00673","H01522"
"D00287","H00001"
"D00473","H01463"
"D00981","H00630"
"D10817","H01555"
"D00753","H00083"
"D00483","H01633"
"D00088","H01532"
"D00799","H01649"
"D00746","H01490"
"D09574","H00020"
"D11084","H01445"
"D00850","H00297"
"D08990","H01240"
"D00983","H01598"
"D02132","H00333"
"D11707","H01963"
"D01350","H00334"
"D00472","H00630"
"D02598","H01674"
"D05529","H01418"
"D00534","H01054"
"D11570","H01709"
"D00981","H01360"
"D11050","H00010"
"D00888","H00363"
"D00635","H01633"
"D06397","H00024"
"D10866","H00014"
"D02184","H00332"
"D00786","H01600"
"D00327","H02027"
"D01655","H00412"
"D02274","H01097"
"D02129","H00315"
"D03903","H01318"
"D05408","H00334"
"D00428","H00630"
"D11097","H01644"
"D01043","H01551"
"D00208","H00019"
"D00292","H01507"
"D00981","H01648"
"D02398","H00024"
"D00345","H01633"
"D01296","H01895"
"D02094","H01566"
"D01155","H00031"
"D00975","H01695"
"D00973","H00216"
"D02597","H00630"
"D00978","H00342"
"D00983","H00080"
"D00973","H01358"
"D01053","H00339"
"D01798","H00167"
"D02122","H00325"
"D00886","H01316"
"D00354","H01813"
"D00978","H01698"
"D02122","H00350"
"D08605","H01563"
"D00409","H01410"
"D00287","H01463"
"D00833","H00358"
"D10244","H00409"
"D00850","H00312"
"D05697","H01651"
"D10685","H00218"
"D00169","H00630"
"D10777","H00010"
"D01275","H00007"
"D01939","H01653"
"D09873","H01472"
"D04539","H00408"
"D11417","H00046"
"D01155","H00014"
"D00296","H01563"
"D10159","H00409"
"D00529","H01360"
"D02216","H00297"
"D11560","H00031"
"D02216","H00111"
"D02461","H00354"
"D06606","H01630"
"D06248","H02018"
"D05870","H00012"
"D00981","H01502"
"D09029","H00126"
"D00850","H00110"
"D00587","H00439"
"D02258","H00155"
"D00077","H01054"
"D10137","H01591"
"D00821","H01664"
"D00701","H01662"
"D00973","H00079"
"D01915","H00155"
